"customerid","first_name","last_name","gender"
1,"Roy","Low","M"
2,"Karen","Low","F"
3,"Charles","Soh","M"
4,"Brenda","Chua","F"
5,"Vicky","Chua","F"
6,"Henry","Ho","M"
7,"Jacqueline","Lee","F"
8,"Pearlyn","Soh","F"
9,"Charles","Ng","M"
10,"Kathy","Ng","F"
11,"Sally","Chua","F"
12,"Charles","Yip","M"
13,"Eugene","Yeo","M"
14,"Susan","Loh","F"
15,"Anna","Low","F"
16,"Anna","Yeo","F"
17,"Manfred","Seah","M"
18,"Paul","Chua","M"
19,"Steven","Yeo","M"
20,"Kathy","Yip","F"
21,"Grace","Seah","F"
22,"Regina","Wong","F"
23,"Alex","Soh","M"
24,"Anna","Lim","F"
25,"Paul","Choo","M"
26,"Elliot","Seah","M"
27,"Angela","Lim","F"
28,"Brenda","Loh","F"
29,"Sally","Tan","F"
30,"Alice","Seah","F"
31,"Thomas","Low","M"
32,"Ivy","Wong","F"
33,"Gloria","Wong","F"
34,"Joe","Chua","M"
35,"Frank","Low","M"
36,"Charles","Yip","M"
37,"Keith","Chua","M"
38,"Norman","Ho","M"
39,"Eugene","Low","M"
40,"Helen","Chan","F"
41,"Vincent","Seah","M"
42,"Joseph","Lee","M"
43,"Robert","Ho","M"
44,"Diana","Ho","F"
45,"Richard","Lim","M"
46,"Cindy","Chua","F"
47,"Kathy","Low","F"
48,"Steven","Tan","M"
49,"Christopher","Ho","M"
50,"Xena","Lim","F"
51,"Julia","Yeo","F"
52,"Nancy","Seah","F"
53,"Jean","Seah","F"
54,"Susan","Tan","F"
55,"Ryan","Lee","M"
56,"Grace","Chan","F"
57,"Sophie","Yip","F"
58,"Irene","Wong","F"
59,"Violet","Ho","F"
60,"Uma","Ho","F"
61,"Uma","Ng","F"
62,"Michelle","Yip","F"
63,"Karen","Ng","F"
64,"Ryan","Low","M"
65,"Norman","Loh","M"
66,"Lena","Tan","F"
67,"Patricia","Loh","F"
68,"Ruth","Ho","F"
69,"Julia","Wong","F"
70,"Thomas","Choo","M"
71,"Mark","Yeo","M"
72,"Catherine","Ho","F"
73,"Uma","Low","F"
74,"William","Loh","M"
75,"Angela","Ng","F"
76,"Sally","Low","F"
77,"Nancy","Ho","F"
78,"Amanda","Yeo","F"
79,"Violet","Ho","F"
80,"Mark","Ho","M"
81,"James","Low","M"
82,"Nancy","Ng","F"
83,"Helen","Soh","F"
84,"Janet","Choo","F"
85,"Joe","Yeo","M"
86,"George","Ng","M"
87,"Sylvester","Wong","M"
88,"Elliot","Yeo","M"
89,"Pearlyn","Low","F"
90,"Amanda","Tan","F"
91,"Steven","Seah","M"
92,"Clara","Yip","F"
93,"Charles","Yip","M"
94,"Steven","Tan","M"
95,"Norman","Seah","M"
96,"Joseph","Yeo","M"
97,"Eugene","Wong","M"
98,"Richard","Seah","M"
99,"Natalie","Lim","F"
100,"Tania","Seah","F"
101,"Lena","Yip","F"
102,"Uma","Soh","F"
103,"Leonard","Choo","M"
104,"Jessica","Tan","F"
105,"Jessica","Chua","F"
106,"Amanda","Soh","F"
107,"Felicity","Chan","F"
108,"Xena","Choo","F"
109,"Olinda","Seah","F"
110,"Alice","Chua","F"
111,"William","Chua","M"
112,"Susan","Lim","F"
113,"Bob","Yeo","M"
114,"Frank","Yip","M"
115,"Sally","Tan","F"
116,"Joe","Chan","M"
117,"Harry","Ng","M"
118,"Karen","Lee","F"
119,"Stanley","Choo","M"
120,"Cindy","Wong","F"
121,"Grace","Ng","F"
122,"David","Ng","M"
123,"Oliver","Ng","M"
124,"Olinda","Seah","F"
125,"Lawrence","Low","M"
126,"Olinda","Yeo","F"
127,"Michelle","Ng","F"
128,"Timothy","Chua","M"
129,"Lawrence","Yeo","M"
130,"George","Chan","M"
131,"David","Ng","M"
132,"Janet","Ho","F"
133,"Brenda","Chua","F"
134,"Robert","Low","M"
135,"Gary","Tan","M"
136,"Violet","Lim","F"
137,"Gloria","Yeo","F"
138,"Grace","Yeo","F"
139,"Keith","Lim","M"
140,"Keith","Choo","M"
141,"Zechary","Soh","M"
142,"Lena","Yip","F"
143,"Elliot","Chua","M"
144,"Ivy","Tan","F"
145,"Brenda","Lim","F"
146,"Mark","Soh","M"
147,"Frank","Soh","M"
148,"Roger","Low","M"
149,"Julia","Ng","F"
150,"Irene","Ho","F"
151,"Clara","Tan","F"
152,"Norman","Ho","M"
153,"Uma","Loh","F"
154,"Lena","Seah","F"
155,"Percy","Lee","M"
156,"Regina","Ng","F"
157,"Eugene","Yeo","M"
158,"Elliot","Chua","M"
159,"James","Choo","M"
160,"Ellen","Soh","F"
161,"Emily","Wong","F"
162,"Roger","Soh","M"
163,"Ruth","Ho","F"
164,"Regina","Wong","F"
165,"Charles","Tan","M"
166,"Joseph","Choo","M"
167,"Thomas","Ng","M"
168,"Regina","Tan","F"
169,"John","Chan","M"
170,"Terence","Soh","M"
171,"Jessica","Low","F"
172,"Olinda","Chan","F"
173,"Lena","Seah","F"
174,"Vicky","Choo","F"
175,"Helen","Wong","F"
176,"Lena","Seah","F"
177,"Lawrence","Yip","M"
178,"Ivy","Loh","F"
179,"Xander","Lee","M"
180,"Stanley","Choo","M"
181,"Keith","Yip","M"
182,"Percy","Lim","M"
183,"Violet","Ho","F"
184,"Michael","Ho","M"
185,"Ivy","Lim","F"
186,"Ellen","Wong","F"
187,"Oliver","Tan","M"
188,"James","Yip","M"
189,"Magdalene","Soh","F"
190,"Kathy","Ho","F"
191,"Alex","Tan","M"
192,"Eugene","Ng","M"
193,"Ivy","Wong","F"
194,"Karen","Yip","F"
195,"William","Ng","M"
196,"Catherine","Yip","F"
197,"Grace","Low","F"
198,"Violet","Yip","F"
199,"Regina","Lee","F"
200,"Roger","Yip","M"
201,"Eugene","Soh","M"
202,"Grace","Low","F"
203,"Gloria","Yeo","F"
204,"Leonard","Loh","M"
205,"Clara","Loh","F"
206,"Clara","Tan","F"
207,"Julia","Ng","F"
208,"Uma","Loh","F"
209,"Lena","Yip","F"
210,"Diana","Yip","F"
211,"Sophie","Ng","F"
212,"Magdalene","Lim","F"
213,"Joe","Chan","M"
214,"Jacqueline","Yeo","F"
215,"Frank","Lim","M"
216,"Kathy","Yip","F"
217,"Ruth","Chan","F"
218,"Steven","Ng","M"
219,"Xander","Tan","M"
220,"Roy","Lee","M"
221,"Leonard","Loh","M"
222,"Mark","Lee","M"
223,"Wilma","Yeo","F"
224,"Karen","Loh","F"
225,"Patricia","Ng","F"
226,"Zoe","Ho","F"
227,"Vicky","Choo","F"
228,"Clara","Ho","F"
229,"Percy","Tan","M"
230,"Norman","Tan","M"
231,"Felicity","Soh","F"
232,"George","Wong","M"
233,"Vicky","Low","F"
234,"Julia","Chua","F"
235,"Patricia","Loh","F"
236,"Zechary","Seah","M"
237,"Queenie","Choo","F"
238,"Brenda","Ho","F"
239,"Diana","Tan","F"
240,"Elliot","Wong","M"
241,"Amanda","Chan","F"
242,"Elliot","Wong","M"
243,"Nancy","Yeo","F"
244,"Stanley","Yeo","M"
245,"Kathy","Tan","F"
246,"Terence","Soh","M"
247,"Ruth","Ng","F"
248,"Irene","Lim","F"
249,"Harry","Loh","M"
250,"Henry","Wong","M"
251,"Queenie","Seah","F"
252,"Robert","Yeo","M"
253,"Alice","Tan","F"
254,"Felicity","Chua","F"
255,"Joseph","Chan","M"
256,"John","Soh","M"
257,"Richard","Lee","M"
258,"Norman","Wong","M"
259,"Nicholas","Wong","M"
260,"William","Chan","M"
261,"Michael","Tan","M"
262,"Xena","Choo","F"
263,"Xander","Choo","M"
264,"George","Lee","M"
265,"Cindy","Ng","F"
266,"Vicky","Ho","F"
267,"John","Lee","M"
268,"Nicholas","Chua","M"
269,"Janet","Soh","F"
270,"Jean","Chua","F"
271,"Richard","Chan","M"
272,"Uma","Loh","F"
273,"Leonard","Ho","M"
274,"Zechary","Soh","M"
275,"Julia","Lee","F"
276,"Felicity","Choo","F"
277,"Alex","Lim","M"
278,"Ryan","Yeo","M"
279,"Xena","Wong","F"
280,"Jacqueline","Ho","F"
281,"Pearlyn","Chua","F"
282,"Henry","Ho","M"
283,"Isaac","Lim","M"
284,"Ivy","Chua","F"
285,"Brenda","Chan","F"
286,"Ivy","Ho","F"
287,"Robert","Lim","M"
288,"Jennifer","Chua","F"
289,"Michael","Chua","M"
290,"Michelle","Soh","F"
291,"Janet","Loh","F"
292,"Robert","Seah","M"
293,"Zechary","Chan","M"
294,"Rachel","Wong","F"
295,"Oliver","Wong","M"
296,"Joseph","Chan","M"
297,"Bob","Lim","M"
298,"Kathy","Seah","F"
299,"Harry","Loh","M"
300,"Queenie","Ng","F"
301,"Zechary","Loh","M"
302,"Zechary","Low","M"
303,"Gary","Ho","M"
304,"Gary","Ng","M"
305,"Amanda","Wong","F"
306,"Norman","Chua","M"
307,"Zechary","Chan","M"
308,"Natalie","Yeo","F"
309,"Roy","Chua","M"
310,"Joe","Ng","M"
311,"William","Chua","M"
312,"Lawrence","Tan","M"
313,"Irene","Ng","F"
314,"Rachel","Yip","F"
315,"George","Choo","M"
316,"Xena","Yip","F"
317,"Daniel","Chua","M"
318,"Thomas","Choo","M"
319,"Nancy","Ng","F"
320,"Violet","Yip","F"
321,"Kathy","Ng","F"
322,"Zechary","Loh","M"
323,"Brenda","Low","F"
324,"Nancy","Yeo","F"
325,"Sylvester","Low","M"
326,"Paul","Yip","M"
327,"Manfred","Loh","M"
328,"Frank","Yeo","M"
329,"Manfred","Tan","M"
330,"Rachel","Soh","F"
331,"Janet","Chan","F"
332,"Ivy","Chan","F"
333,"Catherine","Soh","F"
334,"Keith","Low","M"
335,"Anna","Yeo","F"
336,"Jennifer","Yeo","F"
337,"Ryan","Yip","M"
338,"Ivy","Chua","F"
339,"Olinda","Ng","F"
340,"William","Yeo","M"
341,"Paul","Wong","M"
342,"Alice","Yip","F"
343,"Gloria","Choo","F"
344,"Irene","Loh","F"
345,"Anna","Loh","F"
346,"Leonard","Lee","M"
347,"Vincent","Ho","M"
348,"Uma","Lee","F"
349,"Karen","Lee","F"
350,"Michael","Yeo","M"
351,"Jennifer","Yeo","F"
352,"Uma","Tan","F"
353,"Amanda","Lim","F"
354,"Pearlyn","Wong","F"
355,"Ivy","Tan","F"
356,"Zechary","Soh","M"
357,"Keith","Tan","M"
358,"Clara","Yip","F"
359,"Wilma","Lim","F"
360,"Anna","Chan","F"
361,"Susan","Lim","F"
362,"Violet","Choo","F"
363,"Susan","Wong","F"
364,"Richard","Lee","M"
365,"Sophie","Yeo","F"
366,"Grace","Low","F"
367,"Jacqueline","Yeo","F"
368,"Cindy","Tan","F"
369,"Queenie","Yip","F"
370,"Felicity","Yeo","F"
371,"Queenie","Chan","F"
372,"Jacqueline","Lim","F"
373,"Daniel","Chua","M"
374,"Joe","Lee","M"
375,"Christopher","Chua","M"
376,"Olinda","Low","F"
377,"Kathy","Choo","F"
378,"Natalie","Ho","F"
379,"Natalie","Low","F"
380,"Leonard","Lim","M"
381,"Zoe","Low","F"
382,"Michael","Wong","M"
383,"Paul","Loh","M"
384,"William","Loh","M"
385,"Thomas","Ng","M"
386,"Xena","Loh","F"
387,"Amanda","Soh","F"
388,"Susan","Choo","F"
389,"Jacqueline","Soh","F"
390,"Xena","Choo","F"
391,"Ellen","Ng","F"
392,"Alex","Lim","M"
393,"Mark","Tan","M"
394,"Jennifer","Chua","F"
395,"Angela","Choo","F"
396,"Terence","Wong","M"
397,"Alice","Low","F"
398,"Catherine","Low","F"
399,"Roy","Ho","M"
400,"Nancy","Chan","F"
401,"Stanley","Loh","M"
402,"Zechary","Loh","M"
403,"Elizabeth","Seah","F"
404,"Janet","Yip","F"
405,"Anna","Lim","F"
406,"Oliver","Ng","M"
407,"Christopher","Wong","M"
408,"Ryan","Loh","M"
409,"Violet","Chua","F"
410,"Zechary","Soh","M"
411,"Frank","Loh","M"
412,"Gloria","Wong","F"
413,"Henry","Wong","M"
414,"Catherine","Chua","F"
